Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Federated States of Micronesia,2021 forecast,-1.9,%,The Pacific,FSM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Fiji,2018,3.5,%,The Pacific,FJI,Asian Development Outlook (ADO) 2020 Update (September 2020)
Fiji,2019,-1.3,%,The Pacific,FJI,Asian Development Outlook (ADO) 2020 Update (September 2020)
Fiji,2020 forecast,-19.8,%,The Pacific,FJI,Asian Development Outlook (ADO) 2020 Update (September 2020)
Fiji,2021 forecast,1.0,%,The Pacific,FJI,Asian Development Outlook (ADO) 2020 Update (September 2020)
Georgia,2018,4.8,%,Central Asia,GEO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Georgia,2019,5.1,%,Central Asia,GEO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Georgia,2020 forecast,-5.0,%,Central Asia,GEO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Georgia,2021 forecast,4.5,%,Central Asia,GEO,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Hong Kong, China",2018,2.8,%,East Asia,HKG,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Hong Kong, China",2019,-1.2,%,East Asia,HKG,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Hong Kong, China",2020 forecast,-6.5,%,East Asia,HKG,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Hong Kong, China",2021 forecast,5.1,%,East Asia,HKG,Asian Development Outlook (ADO) 2020 Update (September 2020)
India,2018,6.1,%,South Asia,IND,Asian Development Outlook (ADO) 2020 Update (September 2020)
India,2019,4.2,%,South Asia,IND,Asian Development Outlook (ADO) 2020 Update (September 2020)
India,2020 forecast,-9.0,%,South Asia,IND,Asian Development Outlook (ADO) 2020 Update (September 2020)
India,2021 forecast,8.0,%,South Asia,IND,Asian Development Outlook (ADO) 2020 Update (September 2020)
Indonesia,2018,5.2,%,Southeast Asia,IDN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Indonesia,2019,5.0,%,Southeast Asia,IDN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Indonesia,2020 forecast,-1.0,%,Southeast Asia,IDN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Indonesia,2021 forecast,5.3,%,Southeast Asia,IDN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kazakhstan,2018,4.1,%,Central Asia,KAZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kazakhstan,2019,4.5,%,Central Asia,KAZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kazakhstan,2020 forecast,-3.2,%,Central Asia,KAZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kazakhstan,2021 forecast,2.8,%,Central Asia,KAZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kiribati,2018,2.3,%,The Pacific,KIR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kiribati,2019,2.4,%,The Pacific,KIR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kiribati,2020 forecast,0.6,%,The Pacific,KIR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kiribati,2021 forecast,1.8,%,The Pacific,KIR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kyrgyz Republic,2018,3.8,%,Central Asia,KGZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kyrgyz Republic,2019,4.5,%,Central Asia,KGZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kyrgyz Republic,2020 forecast,-10.0,%,Central Asia,KGZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Kyrgyz Republic,2021 forecast,4.0,%,Central Asia,KGZ,Asian Development Outlook (ADO) 2020 Update (September 2020)
Lao People’s Dem. Rep.,2018,6.2,%,Southeast Asia,LAO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Lao People’s Dem. Rep.,2019,5.0,%,Southeast Asia,LAO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Lao People’s Dem. Rep.,2020 forecast,-2.5,%,Southeast Asia,LAO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Lao People’s Dem. Rep.,2021 forecast,4.5,%,Southeast Asia,LAO,Asian Development Outlook (ADO) 2020 Update (September 2020)
Malaysia,2018,4.8,%,Southeast Asia,MYS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Malaysia,2019,4.3,%,Southeast Asia,MYS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Malaysia,2020 forecast,-5.0,%,Southeast Asia,MYS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Malaysia,2021 forecast,6.5,%,Southeast Asia,MYS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Maldives,2018,6.9,%,South Asia,MDV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Maldives,2019,5.9,%,South Asia,MDV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Maldives,2020 forecast,-20.5,%,South Asia,MDV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Maldives,2021 forecast,10.5,%,South Asia,MDV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Marshall Islands,2018,3.6,%,The Pacific,MHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
